04.03.2015;7:30:00;T704                          ;402363;1;1
04.03.2015;7:30:00;T704                          ;402411;1;1
04.03.2015;7:30:00;T704                          ;402475;1;1
04.03.2015;7:30:00;T704                          ;510745;1;1
04.03.2015;7:30:00;T704                          ;685352;1;0
04.03.2015;7:30:00;T704                          ;765291;1;1
04.03.2015;7:30:00;T704                          ;7014050;1;1
04.03.2015;7:30:00;T704                          ;7032593;1;1
04.03.2015;7:30:00;T704                          ;7050899;1;1
04.03.2015;7:30:00;T704                          ;400622;2;2
04.03.2015;7:30:00;T704                          ;406675;2;0
04.03.2015;7:30:00;T704                          ;7002989;4;3
04.03.2015;7:30:00;T704                          ;7043868;5;5
11.02.2015;7:30:00;T704                          ;7042507;1;1
11.02.2015;7:30:00;T704                          ;402543;1;1
11.02.2015;7:30:00;T704                          ;403237;1;0
11.02.2015;7:30:00;T704                          ;404955;1;1
11.02.2015;7:30:00;T704                          ;492248;1;1
11.02.2015;7:30:00;T704                          ;770167;1;1
11.02.2015;7:30:00;T704                          ;777982;1;1
11.02.2015;7:30:00;T704                          ;793511;1;1
11.02.2015;7:30:00;T704                          ;794784;1;1
11.02.2015;7:30:00;T704                          ;7014050;1;1
11.02.2015;7:30:00;T704                          ;7014557;1;1
11.02.2015;7:30:00;T704                          ;7014885;1;1
20.02.2015;11:00:00;T704                          ;696715;1;1
20.02.2015;11:00:00;T704                          ;723050;1;1
20.02.2015;11:00:00;T704                          ;735582;1;1
20.02.2015;11:00:00;T704                          ;748468;1;1
20.02.2015;11:00:00;T704                          ;755582;1;1
20.02.2015;11:00:00;T704                          ;756219;1;1
20.02.2015;11:00:00;T704                          ;756675;1;1
20.02.2015;11:00:00;T704                          ;765291;1;1
20.02.2015;11:00:00;T704                          ;765745;2;2
20.02.2015;11:00:00;T704                          ;770161;1;1
20.02.2015;11:00:00;T704                          ;770167;1;1
20.02.2015;11:00:00;T704                          ;772334;1;1
20.02.2015;11:00:00;T704                          ;777982;1;1
20.02.2015;11:00:00;T704                          ;778835;1;1
20.02.2015;11:00:00;T704                          ;794784;1;1
20.02.2015;11:00:00;T704                          ;7002980;1;1
20.02.2015;11:00:00;T704                          ;7002987;1;1
20.02.2015;11:00:00;T704                          ;7003325;1;1
20.02.2015;11:00:00;T704                          ;7011607;1;1
20.02.2015;11:00:00;T704                          ;7011608;1;1
20.02.2015;11:00:00;T704                          ;7014088;1;1
20.02.2015;11:00:00;T704                          ;7030118;1;1
20.02.2015;11:00:00;T704                          ;7042260;1;1
20.02.2015;11:00:00;T704                          ;7043120;1;0
20.02.2015;11:00:00;T704                          ;7044482;5;0
20.02.2015;11:00:00;T704                          ;7044483;3;3
20.02.2015;11:00:00;T704                          ;7048580;1;1
20.02.2015;11:00:00;T704                          ;7050423;1;1
20.02.2015;11:00:00;T704                          ;7050440;1;1
20.02.2015;11:00:00;T704                          ;7051463;1;1
20.02.2015;11:00:00;T704                          ;7051465;1;1
20.02.2015;11:00:00;T704                          ;7051776;1;1
20.02.2015;11:00:00;T704                          ;7051778;1;1
20.02.2015;11:00:00;T704                          ;7060094;1;1
20.02.2015;11:00:00;T704                          ;7061225;1;0
20.02.2015;11:00:00;T704                          ;7062003;1;1
20.02.2015;11:00:00;T704                          ;7062005;1;1
20.02.2015;11:00:00;T704                          ;7092874;1;1
20.02.2015;11:00:00;T704                          ;7092899;1;1
20.02.2015;11:00:00;T704                          ;400621;1;1
20.02.2015;11:00:00;T704                          ;402225;1;1
20.02.2015;11:00:00;T704                          ;402305;1;1
20.02.2015;11:00:00;T704                          ;402363;1;1
20.02.2015;11:00:00;T704                          ;402543;2;2
20.02.2015;11:00:00;T704                          ;403282;1;1
20.02.2015;11:00:00;T704                          ;405990;1;1
20.02.2015;11:00:00;T704                          ;406688;1;1
20.02.2015;11:00:00;T704                          ;418408;1;1
20.02.2015;11:00:00;T704                          ;456909;2;3
20.02.2015;11:00:00;T704                          ;456910;1;1
20.02.2015;11:00:00;T704                          ;608083;1;1
20.02.2015;11:00:00;T704                          ;655693;1;1
20.02.2015;11:00:00;T704                          ;678999;1;1
20.02.2015;11:00:00;T704                          ;696710;1;1
